winery,region_1,province,country
Ancient Cellars,Rogue Valley,Oregon,US
Domaine des Sablonnettes,Vin de Table Francais,France Other,France
A Cellar Full of Noise,Paso Robles,California,US
Château Grand Rolland,Bordeaux,Bordeaux,France
SalvaTerra,Valpolicella Classico,Veneto,Italy
Wicks,Adelaide Hills,South Australia,Australia
Wonderment Wines,Rockpile,California,US
Beekeeper Cellars,Sonoma Valley,California,US
Cà Bianca,Barbera d'Asti Superiore,Piedmont,Italy
Château Castegens,Castillon Côtes de Bordeaux,Bordeaux,France
Château les Aubastons,Côtes de Bourg,Bordeaux,France
Château Mayne Mazerolles,Blaye Côtes de Bordeaux,Bordeaux,France
Domaine Duperray,Beaujolais,Beaujolais,France
Château Viranel,Saint-Chinian,Languedoc-Roussillon,France
Four Sisters Ranch,Sonoma County,California,US
Laurent Perrachon,Beaujolais-Villages,Beaujolais,France
Louis Tête,Beaujolais,Beaujolais,France
Aila,,Leyda Valley,Chile
Castello Tricerchi,Rosso di Montalcino,Tuscany,Italy
Hindsight,Napa Valley,California,US
Alta Vista,Valle de Uco,Mendoza Province,Argentina
Invivo,,Central Otago,New Zealand
Domenico,California,California,US
Brooklyn West,Amador County,California,US
Stéphane Aviron,Fleurie,Beaujolais,France
Y Rousseau,Moon Mountain District Sonoma County,California,US
Ogier,Condrieu,Rhône Valley,France
Domaine de Côtes Rémont,Juliénas,Beaujolais,France
Monte Smith,Mendocino,California,US
Peace Water,Carneros,California,US
Replica,North Coast,California,US
Gérard Bertrand,Côtes du Roussillon Villages Tautavel,Languedoc-Roussillon,France
Ideology Cellars,Oak Knoll District,California,US
Patriarche Père et Fils,Mâcon-Lugny,Burgundy,France
Pierrick Harang,Pays d'Oc,Languedoc-Roussillon,France
Ben Ish,,Chile,Chile
Boutinot,Beaujolais-Villages,Beaujolais,France
Domaine de Brau,Pays d'Oc,Languedoc-Roussillon,France
L. Tramier & Fils,Beaujolais,Beaujolais,France
Loica,,Leyda Valley,Chile
Marrenon,Côtes de Provence Sainte-Victoire,Provence,France
Sainte Marie des Crozes,Pays d'Oc,Languedoc-Roussillon,France
Chatel,Cava,Catalonia,Spain
Domaines Devillard,Macon-Bussières,Burgundy,France
Domaines Pierre Chavin,Pays d'Oc,Languedoc-Roussillon,France
My Moon,Delle Venezie,Northeastern Italy,Italy
Bolla,Pavia,Lombardy,Italy
Château Allégret,Bordeaux,Bordeaux,France
Toscar,Alicante,Levante,Spain
Château de Beauregard-Ducourt,Bordeaux Rosé,Bordeaux,France
GEN 7,Santa Barbara County,California,US
Tenuta del Portale,Basilicata,Southern Italy,Italy
Domaine la Croix Gratiot,Picpoul de Pinet,Languedoc-Roussillon,France
Domaines Barons de Rothschild (Lafite),Pays d'Oc,Languedoc-Roussillon,France
Exquisite Wines,,Tejo,Portugal
Larner,Santa Barbara County,California,US
Mensch,Lodi,California,US
Quivira,Sonoma County,California,US
Lang & Reed,Mendocino,California,US
Dall'Abaco Fedrigoni,Valpolicella Classico Superiore,Veneto,Italy
Domaine de la Renjarde,Côtes du Rhône Villages,Rhône Valley,France
Valentina Cubi,Valpolicella Classico Superiore,Veneto,Italy
Jekel,Santa Barbara County,California,US
Le Guaite,Valpolicella Superiore,Veneto,Italy
Miro,Rockpile,California,US
The Rhôning Stones,Côtes du Rhône,Rhône Valley,France
Amaral,,Leyda Valley,Chile
Bodegas Ondarre,Rioja,Northern Spain,Spain
Cent'Anni,Valpolicella Ripasso,Veneto,Italy
Fattoria Le Pupille,Toscana,Tuscany,Italy
Herzog,Mount Veeder,California,US
Castello di Montepò,Morellino di Scansano,Tuscany,Italy
Roche de Bellene,Clos de Vougeot,Burgundy,France
MacPhail,Sta. Rita Hills,California,US
Jean-Paul Paquet,Pouilly-Vinzelles,Burgundy,France
majoros,,Tokaj,Hungary
Kristodd,Napa Valley,California,US
Adams Bench,Horse Heaven Hills,Washington,US
La Spinona,Barolo,Piedmont,Italy
Manzone,Barolo,Piedmont,Italy
Metzker Family Estates,Russian River Valley,California,US
Campo Maseri,Teroldego Rotaliano,Northeastern Italy,Italy
Marquis de Perlade,Vin Mousseux,France Other,France
Nuggucciet,Santa Maria Valley,California,US
Le Grand Courtage,Vin Mousseux,France Other,France
Townley,Russian River Valley,California,US
Château de Ribebon,Bordeaux Supérieur,Bordeaux,France
San Giacomo,Rosso di Montalcino,Tuscany,Italy
Ferré I Catasús,Penedès,Catalonia,Spain
Agostina Pieri,Rosso di Montalcino,Tuscany,Italy
Astorre Noti,Rosso di Montepulciano,Tuscany,Italy
Barrage Cellars,Red Mountain,Washington,US
Maison Stéphane Brocard,Bourgogne,Burgundy,France
Punta del Cielo,Mendoza,Mendoza Province,Argentina
Patterson,Red Mountain,Washington,US
Powers,Horse Heaven Hills,Washington,US
Still River,Massachusetts,Massachusetts,US
Domaine Pinnacle,Canada,Canada Other,Canada
Plozza,Terrazze Retiche di Sondrio,Lombardy,Italy
Press Cellars,Anderson Valley,California,US
Nora da Neve,Rías Baixas,Galicia,Spain
Cava Blancher,Cava,Catalonia,Spain
Fabiano,Recioto della Valpolicella,Veneto,Italy
Swanson,Sonoma Mountain,California,US
Wargin Wines,Solano County,California,US
Wines Gone Wild,Dry Creek Valley,California,US
Wise Villa,Alta Mesa,California,US
Kelleher,Oakville,California,US
Oenogenesis,,Drama,Greece
San Polo,La Consulta,Mendoza Province,Argentina
Susana Balbo,Mendoza,Mendoza Province,Argentina
C&T;,Napa Valley,California,US
Waltzing Bear,Paso Robles,California,US
Los Cielos,Mendoza,Mendoza Province,Argentina
Exclusiv,,Moldova,Moldova
Hom,Mendoza,Mendoza Province,Argentina
Bersano,Asti,Piedmont,Italy
Bosio,Puglia,Southern Italy,Italy
DC Flynt MW Selections,California,California,US
Isolabella della Croce,Moscato d'Asti,Piedmont,Italy
Mondoro,Asti,Piedmont,Italy
Demarie,Moscato d'Asti,Piedmont,Italy
Bodegas Martinez Corta,Rioja,Northern Spain,Spain
Cantina Vallebelbo,Asti,Piedmont,Italy
Summerland,Paso Robles,California,US
Angelo Bortolin,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Bollini,Collio,Northeastern Italy,Italy
Comelli,Friuli Colli Orientali,Northeastern Italy,Italy
Mackinaw Trail,Lake Michigan Shore,Michigan,US
Monmousseau,Crémant de Loire,Loire Valley,France
Piccolo,Dry Creek Valley,California,US
Domaine du Gros Nore,Bandol,Provence,France
Domaine du Vieil Orme,Crémant de Loire,Loire Valley,France
Pata Negra,Rueda,Northern Spain,Spain
Pietra Santa,Central Coast,California,US
Bellini,Amarone della Valpolicella Classico,Veneto,Italy
Conde Ansurez,Cigales,Northern Spain,Spain
Alexandra Wine Company,,Central Otago,New Zealand
Elk Cove,Rogue Valley,Oregon,US
Freie Weingärtner Wachau,,Wachau,Austria
Gallo of Sonoma,Alexander Valley,California,US
Burton,South Eastern Australia,Australia Other,Australia
Parxet,Alella,Catalonia,Spain
Cardinal Point,Monticello,Virginia,US
Casa Catelli,Chianti,Tuscany,Italy
Château Laujac,Médoc,Bordeaux,France
Talosa,Vino Nobile di Montepulciano,Tuscany,Italy
Le Casalte,Rosso di Montepulciano,Tuscany,Italy
Monte Smith,North Coast,California,US
Cellier des Chartreux,Lirac,Rhône Valley,France
Château du Cayrou,Cahors,Southwest France,France
Château de Cayx,Cahors,Southwest France,France
Fattoi,Rosso di Montalcino,Tuscany,Italy
Vin du Lac,Lake Chelan,Washington,US
Castillo de Maluenda,Calatayud,Northern Spain,Spain
Villa Nissarda,Côtes de Provence,Provence,France
William Marie,Columbia Valley (WA),Washington,US
Brash Higgins,McLaren Vale,South Australia,Australia
Château Lafleur du Roy,Pomerol,Bordeaux,France
Panther Creek,Eola-Amity Hills,Oregon,US
Pugliese,North Fork of Long Island,New York,US
Jaillance,Crémant de Bordeaux,Bordeaux,France
Château Bonnin,Lussac Saint-Émilion,Bordeaux,France
Settlers Rise,South Eastern Australia,Australia Other,Australia
Broccardo,Dolcetto d'Alba,Piedmont,Italy
Coelho,McMinnville,Oregon,US
Dauntless,Willamette Valley,Oregon,US
Domaine Vetriccie,Ile de Beauté,France Other,France
Firestone,Sta. Rita Hills,California,US
Pampas del Sur,Mendoza,Mendoza Province,Argentina
Saget la Perrière,Anjou,Loire Valley,France
Alexis Sauvion,Muscadet,Loire Valley,France
Jekel,Monterey County,California,US
Tamayo Family,Sonoma County,California,US
Fattoria La Vialla,Chianti Superiore,Tuscany,Italy
Fattoria Lavacchio,Chianti Rufina,Tuscany,Italy
Folonari,Vino Nobile di Montepulciano,Tuscany,Italy
Simbolic,Priorat,Catalonia,Spain
Jaffelin,Savigny-lès-Beaune,Burgundy,France
Domaines Dominique Piron,Fleurie,Beaujolais,France
Za Zin,Lodi,California,US
Pure Cru,Carneros,California,US
Le Masciare,Taurasi,Southern Italy,Italy
Wilridge,Wahluke Slope,Washington,US
Château Le Clou du Pin,Bordeaux,Bordeaux,France
Château les Hautes Graves,Montagne-Saint-Émilion,Bordeaux,France
Domaine Philippe Goulley,Petit Chablis,Burgundy,France
Principe Pallavicini,Frascati,Central Italy,Italy
Pure Provence,Coteaux Varois en Provence,Provence,France
Tenuta Vitalonga,Orvieto,Central Italy,Italy
Vignemastre,Toscana,Tuscany,Italy
Infinitus,Patagonia,Other,Argentina
Le Fornaci,Vernaccia di San Gimignano,Tuscany,Italy
Super Sonoman,Green Valley,California,US
Château la Gorre,Médoc,Bordeaux,France
Insatiable,Mendocino County,California,US
Domaine du Grand Tinel,Châteauneuf-du-Pape,Rhône Valley,France
Louis Bernard,Côtes du Luberon,Rhône Valley,France
Ledson,Napa Valley,California,US
Pasquale Pelissero,Dolcetto d'Alba,Piedmont,Italy
Bianchi,Santa Maria Valley,California,US
Château Guirauton,Graves,Bordeaux,France
Hahn Estates,Monterey,California,US
De Fina,Napa Valley,California,US
Frisson Wines,Russian River Valley,California,US
Henry Fessy,Pouilly-Fuissé,Burgundy,France
Louis Chevallier,Bourgogne,Burgundy,France
Amizade,Monterrei,Galicia,Spain
Moingeon,Crémant de Bourgogne,Burgundy,France
De Novo,Sonoma County,California,US
Domaine de l'Edre,Côtes du Roussillon,Languedoc-Roussillon,France
Vita Italia,Primitivo di Manduria,Southern Italy,Italy
Redemption,Dry Creek Valley,California,US
Château l'Enclos,Sainte-Foy Bordeaux,Bordeaux,France
Les Jamelles,France,France Other,France
Turley,Howell Mountain,California,US
Bodegas Aletta,Campo de Borja,Northern Spain,Spain
Middelvlei,,Stellenbosch,South Africa
Castel Montplaisir,Cahors,Southwest France,France
Château Lapelletrie,Saint-Émilion,Bordeaux,France
Marquis de Chasse,Bordeaux Blanc,Bordeaux,France
Sonora,Amador County,California,US
Foppiano,Dry Creek Valley,California,US
Mommessin,Côtes du Rhône,Rhône Valley,France
Marchesi di Barolo,Monferrato,Piedmont,Italy
Saviez,Napa Valley,California,US
Jacobsdal,,Stellenbosch,South Africa
Perry Creek,Sierra Foothills,California,US
Newlan,Sonoma County,California,US
Vieux Château Négrit,Montagne-Saint-Émilion,Bordeaux,France
Alexander Valley Vineyards,Sonoma County,California,US
Castel Roubine,Côtes de Provence,Provence,France
Bella Vigna,Lodi,California,US
Château Ducla,Bordeaux,Bordeaux,France
Poggio Scalette,Alta Valle della Greve,Tuscany,Italy
Marchesi Torrigiani,Chianti,Tuscany,Italy
Nicolas Potel,Mâcon-Villages,Burgundy,France
Ten Acre,Santa Lucia Highlands,California,US
Velocity Wine Cellars,Rogue Valley,Oregon,US
Tenuta Cà Bolani,Friuli,Northeastern Italy,Italy
Antonini Ceresa,Prosecco,Veneto,Italy
Canella,Veneto,Veneto,Italy
Chocolate Box,Eden Valley,South Australia,Australia
Bokisch,Mokelumne River,California,US
Corvalle,Atlas Peak,California,US
Michel Léon,Alsace,Alsace,France
Calavera,Calaveras County,California,US
CarlindePaolo,Barbaresco,Piedmont,Italy
Ken Wright,,Washington-Oregon,US
Charles Joguet,Touraine,Loire Valley,France
Château la Varière,Coteaux du Layon,Loire Valley,France
Jean-Christophe Perraud,Mâcon La Roche Vineuse,Burgundy,France
Nadine et Maurice Guerrin,Pouilly-Fuissé,Burgundy,France
Porto Reccua Vinhos,,Port,Portugal
Santa Maria,Brunello di Montalcino,Tuscany,Italy
Torrevento,Salice Salentino,Southern Italy,Italy
Château K,Bergerac Sec,Southwest France,France
Château les Hauts d'Aglan,Cahors,Southwest France,France
Christopher Michael,Oregon,Oregon,US
Destello,Cava,Catalonia,Spain
Çamlibağ,,Turkey,Turkey
Castellani,Maremma Toscana,Tuscany,Italy
Domaine Maillard,Chorey-lès-Beaune,Burgundy,France
Louis Chevallier,Saint-Véran,Burgundy,France
Vino,Ancient Lakes,Washington,US
Clos des Rocs,Mâcon-Loché,Burgundy,France
Domaine Bernard Moreau,Bourgogne,Burgundy,France
Domaine Rives-Blanques,Pays d'Oc,Languedoc-Roussillon,France
Fratelli Ponte,Barbera d'Asti Superiore,Piedmont,Italy
Highland Cellars,Finger Lakes,New York,US
Infidel,Lodi,California,US
Marcel Couturier,Mâcon-Loché,Burgundy,France
Marius,Pays d'Oc,Languedoc-Roussillon,France
Marquee,Western Australia,Western Australia,Australia
Harmony Cellars,Central Coast,California,US
Hawk and Horse Vineyards,Napa Valley,California,US
San Quirico,Chianti Colli Senesi,Tuscany,Italy
Terra di Cipressi,Toscana,Tuscany,Italy
Tiziano,Chianti,Tuscany,Italy
Musetta,Clear Lake,California,US
Rivata,Barolo,Piedmont,Italy
Sbragia,Alexander Valley,California,US
Konrad Hähn,,Mosel,Germany
Château Bernés,Bordeaux,Bordeaux,France
Château du Cros,Bordeaux,Bordeaux,France
Château du Lort,Bordeaux Supérieur,Bordeaux,France
Château des Gravières,Bordeaux Blanc,Bordeaux,France
Crush Farm,California,California,US
Fortress,Sonoma County,California,US
Cambridge California,Carneros,California,US
Coruce,Central Coast,California,US
Les Mines,Priorat,Catalonia,Spain
Larry Cherubino,Western Australia,Western Australia,Australia
Lions Peak,Paso Robles,California,US
Château d'Arnaussan,Bordeaux,Bordeaux,France
Hunter III,Napa Valley,California,US
7 Heavenly Chards,Lodi,California,US
Pago Casa del Blanco,Vino de la Tierra de Castilla,Central Spain,Spain
Lions Peak,California,California,US
E16,Bennett Valley,California,US
Nativ,Falanghina del Beneventano,Southern Italy,Italy
Parejas Cellars,Columbia Valley (WA),Washington,US
Sanpaolo,Fiano di Avellino,Southern Italy,Italy
Roche de Bellene,Morey-Saint-Denis,Burgundy,France
Roche de Bellene,Vosne-Romanée,Burgundy,France
Casisano Colombaio,Brunello di Montalcino,Tuscany,Italy
Castiglion del Bosco,Toscana,Tuscany,Italy
L. Tramier & Fils,Corton,Burgundy,France
Domaine Champy,Corton-Rognet,Burgundy,France
Monticello Vineyards,Rutherford,California,US
De Lucia,Beneventano,Southern Italy,Italy
Masserie Pisari,Salento,Southern Italy,Italy
Château la Caminade,Vin de Pays du Lot,Southwest France,France
Château Lagrézette,Vin de Pays du Lot,Southwest France,France
Domaine Don Gonzalo,Mendoza,Mendoza Province,Argentina
Bersano,Barbaresco,Piedmont,Italy
Louis Latour,Pommard,Burgundy,France
Domaine Coquard Loisson-Fleurot,Vosne-Romanée,Burgundy,France
Antica Hirpinia,Greco di Tufo,Southern Italy,Italy
Cuttaway Hill Estate,Southern Highlands,New South Wales,Australia
Bowen Estate,Coonawarra,South Australia,Australia
Cantine Volpi,Montepulciano d'Abruzzo,Central Italy,Italy
Spinelli,Montepulciano d'Abruzzo,Central Italy,Italy
Hangtime,California,California,US
Les Vignerons de la Méditerranée,Pays d'Oc,Languedoc-Roussillon,France
St. Gabriel,,Mosel,Germany
Provenance Vineyards,Yountville,California,US
Maison Champy,Volnay,Burgundy,France
Carmina Burana,Columbia Valley (WA),Washington,US
Darby,Yakima Valley,Washington,US
Rizzi,Piedmont,Piedmont,Italy
Sererraglio Carole Bouquet,Passito di Pantelleria,Sicily & Sardinia,Italy
André Kientzler,Crémant d'Alsace,Alsace,France
Lanark Lane,,Marlborough,New Zealand
Leo Steen Wines,Santa Ynez Valley,California,US
Bortolomiol,Prosecco di Valdobbiadene Superiore,Veneto,Italy
Tierra Brisa,Mendoza,Mendoza Province,Argentina
Panarroz,Jumilla,Levante,Spain
Dorigo,Friuli,Northeastern Italy,Italy
Jean-Claude Debeaune,Morgon,Beaujolais,France
Château Plaisance,Montagne-Saint-Émilion,Bordeaux,France
Meyer Family Cellars,California,California,US
Ra Nui,,Wairau Valley,New Zealand
Les Vignes des Prêcheurs,Tavel,Rhône Valley,France
Poggio Morino,Maremma,Tuscany,Italy
Vignobles La Coterie,Saint-Joseph,Rhône Valley,France
Damian Rae,Santa Lucia Highlands,California,US
Henry Fessy,Côte de Brouilly,Beaujolais,France
Zeni,Amarone della Valpolicella,Veneto,Italy
Bailly-Lapierre,Saint-Bris,Burgundy,France
Threesome Cellars,Oak Knoll District,California,US
Cascina delle Rose,Langhe,Piedmont,Italy
Wayne Gretzky Estates,Niagara Peninsula,Ontario,Canada
Jean-Claude Boisset,Beaune,Burgundy,France
Sawyer & Lindquist,Edna Valley,California,US
Domaine Divio,Chehalem Mountains,Oregon,US
Celler Burgos-Porta,Priorat,Catalonia,Spain
Costers del Priorat,Priorat,Catalonia,Spain
Stefano Antonucci,Verdicchio dei Castelli di Jesi Classico Superiore,Central Italy,Italy
Marotti Campi,Verdicchio dei Castelli di Jesi Classico Superiore,Central Italy,Italy
Hersly,Coombsville,California,US
Lagar de Bouza,Rías Baixas,Galicia,Spain
L'Arco,Recioto della Valpolicella Classico,Veneto,Italy
Laurel Glen,Lodi,California,US
Odisea,Clements Hills,California,US
Poggio delle Robinie,Prosecco,Veneto,Italy
C.G. di Arie,Amador County,California,US
Castellargo,Prosecco,Veneto,Italy
Rock Wall,Sonoma Valley,California,US
Château Gaby,Canon-Fronsac,Bordeaux,France
Château Rochebelle,Saint-Émilion,Bordeaux,France
El Centimo,Rioja,Northern Spain,Spain
Elena Walch,,Italy Other,Italy
Nobility,Napa County-Sonoma County,California,US
Merriam,Alexander Valley,California,US
Merriam,Sonoma County,California,US
Palo Alto,Maipú,Mendoza Province,Argentina
Paul Beaudet,Beaujolais Blanc,Beaujolais,France
The Industrial,Sonoma County,California,US
Ébano,Ribera del Duero,Northern Spain,Spain
Fox Brook,California,California,US
Paul Beaudet,Beaujolais,Beaujolais,France
Xavier Flouret,Mendoza,Mendoza Province,Argentina
Kings Carey,Santa Ynez Valley,California,US
Amapola Creek,Russian River Valley,California,US
Castello di Monsanto,Rosso di Toscana,Tuscany,Italy
J. Keverson,Dry Creek Valley,California,US
Jacob's Creek,Coonawarra,South Australia,Australia
Capestrano,Marche,Central Italy,Italy
Toneles del Sur,Mendoza,Mendoza Province,Argentina
Argana,Mendoza,Mendoza Province,Argentina
Wedge Mountain,Washington,Washington,US
Château Lagrave Paran,Bordeaux Supérieur,Bordeaux,France
Renwood,Sierra Foothills,California,US
Tenuta Vitanza,Toscana,Tuscany,Italy
American Roots,Napa Valley,California,US
Barzagoso,Rioja,Northern Spain,Spain
Kupel Wieser,Alto Adige,Northeastern Italy,Italy
Uvaggio,Carneros-Napa Valley,California,US
Henkell,,Germany,Germany
Château La Gabarre,Bordeaux Rosé,Bordeaux,France
Château Laville,Bordeaux Rosé,Bordeaux,France
Château Smith Haut Lafitte,Bordeaux Rosé,Bordeaux,France
Costaripa,Valtènesi,Lombardy,Italy
Tressals,Priorat,Catalonia,Spain
Manimurci,Greco di Tufo,Southern Italy,Italy
Better Half,Napa Valley,California,US
Bootstrap,California,California,US
Yemanueva,La Mancha,Central Spain,Spain
Sanctuary,Russian River Valley,California,US
Schloss Lieser,,Mosel,Germany
Faiveley,Chambolle-Musigny,Burgundy,France
Cameron Hughes,Carneros,California,US
Château les Anguilleys,Médoc,Bordeaux,France
Prizm,Paso Robles,California,US
Casa Belfi,Delle Venezie,Northeastern Italy,Italy
Casarena,Perdriel,Mendoza Province,Argentina
Corte Mainente,Soave Classico,Veneto,Italy
De Stefani,Piave,Veneto,Italy
Domaine Laleure-Piot,Pernand-Vergelesses,Burgundy,France
Eikeboom,,Western Cape,South Africa
Famille Perrin,Rasteau,Rhône Valley,France
Kunde,Moon Mountain District Sonoma County,California,US
La Pitchoune,Sonoma Mountain,California,US
Château Tour St Bonnet,Médoc,Bordeaux,France
Figge,Santa Ynez Valley,California,US
Château Fontana,Bordeaux,Bordeaux,France
Château Henry de France,Côtes de Bordeaux,Bordeaux,France
Château La Croix Chantecaille,Saint-Émilion,Bordeaux,France
Abbazia Santa Anastasia,Terre Siciliane,Sicily & Sardinia,Italy
Jaffurs,Santa Barbara,California,US
Jorche,Primitivo di Manduria,Southern Italy,Italy
Barton & Guestier,Sancerre,Loire Valley,France
Borne,Anderson Valley,California,US
Château Beauséjour,Bergerac Sec,Southwest France,France
Sensi,Brunello di Montalcino,Tuscany,Italy
Seven Angels,Edna Valley,California,US
Rhous,,Crete,Greece
Rock Wall,North Coast,California,US
La Gitana,Ribera del Duero,Northern Spain,Spain
Labouré-Roi,Pays d'Oc,Languedoc-Roussillon,France
Canevel,Prosecco,Veneto,Italy
Fatalone,Gioia del Colle,Southern Italy,Italy
Gallo Signature Series,Russian River Valley,California,US
The Original Dark Horse,California,California,US
Château Bellevue Favereau,Bordeaux Supérieur,Bordeaux,France
Black Box,,Central Valley,Chile
Domaine du Comte Liger-Belair,La Romanée,Burgundy,France
Kori,Santa Lucia Highlands,California,US
Merus,Napa Valley,California,US
La Diligence,Napa Valley,California,US
Louis Max,Nuits-St.-Georges,Burgundy,France
Château Marjosse,Bordeaux,Bordeaux,France
Château Venus,Graves,Bordeaux,France
Château Vircoulon,Bordeaux,Bordeaux,France
Game of Thrones,Paso Robles,California,US
Glenwood Cellars,Carneros,California,US
Château Haut Pasquet,Bordeaux,Bordeaux,France
Château la Tour Chapoux,Bordeaux,Bordeaux,France
Pont du Rhône,Côtes du Rhône,Rhône Valley,France
The Walls,Walla Walla Valley (WA),Washington,US
Château Hellha,,Tokaji,Hungary
Jaffelin,Meursault,Burgundy,France
Accordini Igino,Amarone della Valpolicella,Veneto,Italy
Alpha Omega,Atlas Peak,California,US
Adami,Prosecco Treviso,Veneto,Italy
Atali Winery,Oak Knoll District,California,US
Avissi,Prosecco,Veneto,Italy
Biasotto,Prosecco,Veneto,Italy
Freja,Willamette Valley,Oregon,US
Gracianna,Dry Creek Valley,California,US
Domaine du Petit Bondieu,Bourgueil,Loire Valley,France
Carod Freres,Clairette de Die Méthode Dioise Ancestrale,Rhône Valley,France
Barton & Guestier,Châteauneuf-du-Pape,Rhône Valley,France
Domaine de la Solitude,Côtes du Rhône,Rhône Valley,France
Col de' Salici,Prosecco di Valdobbiadene,Veneto,Italy
Pacific Echo,Mendocino County,California,US
Terredora,Aglianico d'Irpinia,Southern Italy,Italy
Luigi Righetti,Amarone della Valpolicella,Veneto,Italy
Dalfiume,Emilia-Romagna,Central Italy,Italy
Martini & Rossi,Moscato d'Asti,Piedmont,Italy
Geyser Peak,Dry Creek Valley,California,US
Veuve du Vernay,Bordeaux,Bordeaux,France
Sella & Mosca,Isola dei Nuraghi,Sicily & Sardinia,Italy
Pátria,,Vinho Verde,Portugal
Noble Vines,California,California,US
Wild Hare,California,California,US
Nobelle,Paso Robles,California,US
Formation,Monterey County,California,US
Rosati Family,Mendocino County,California,US
Roadhouse Winery,Dry Creek Valley,California,US
Evening Land,Edna Valley,California,US
Château de Chatelard,Fleurie,Beaujolais,France
Château des Jacques,Fleurie,Beaujolais,France
Cordant,Paso Robles,California,US
Domaine des Chers,Moulin-à-Vent,Beaujolais,France
Fattoria Montecchio,Toscana,Tuscany,Italy
Confrerie de Oisly et Thesée,Touraine,Loire Valley,France
Tortoise Creek,Muscadet Sèvre et Maine,Loire Valley,France
Il Cavaliere,Friuli Grave,Northeastern Italy,Italy
Sierra Vista,El Dorado,California,US
Vignavecchia,Colli della Toscana Centrale,Tuscany,Italy
Wine Out West,Columbia Valley (WA),Washington,US
Tenute Silvio Nardi,Sant'Antimo,Tuscany,Italy
Château Hallet,Sauternes,Bordeaux,France
Château le Paradis,Côtes de Bourg,Bordeaux,France
Château les Arromans,Bordeaux Blanc,Bordeaux,France
X,Lake-Sonoma-Napa,California,US
Ledgewood Creek,Napa Valley,California,US
Vinosia,Taurasi,Southern Italy,Italy
Lone Canary,Columbia Valley (WA),Washington,US
Sebastopol,Russian River Valley,California,US
Dubindil,Red Mountain,Washington,US
August Briggs,Russian River Valley,California,US
Vignerons de Mancey,Mercurey,Burgundy,France
Napa Cellars,Carneros,California,US
Ballancin,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Cantine di Ora,Amarone della Valpolicella,Veneto,Italy
Kenneth Volk,San Benito County,California,US
Château Vieille Dynastie,Lalande de Pomerol,Bordeaux,France
Cória,Willamette Valley,Oregon,US
Donna Anita,Langhe,Piedmont,Italy
Wesley Ashley,Central Coast,California,US
Château Le Cap,Blaye Côtes de Bordeaux,Bordeaux,France
Château l'Orangerie,Bordeaux Supérieur,Bordeaux,France
Château Truquet,Saint-Émilion,Bordeaux,France
Corte Giara,Valpolicella,Veneto,Italy
Fallon Place,Chalk Hill,California,US
Guerrieri Rizzardi,Bardolino,Veneto,Italy
Hess,California,California,US
Ignatus,Bordeaux,Bordeaux,France
Nine North Wine Company,North Coast,California,US
Sharabella Wines,Lodi,California,US
Splendore,Ribera del Duero,Northern Spain,Spain
Angove's,Coonawarra,South Australia,Australia
Agricola Sulin,Barbera del Monferrato Superiore,Piedmont,Italy
Angelo Negro & Figli,Barbera d'Alba,Piedmont,Italy
Antonia Gazzi,Barbera d'Asti,Piedmont,Italy
Brazin,Dry Creek Valley,California,US
Castello di Uviglie,Barbera del Monferrato Superiore,Piedmont,Italy
Marco Canato,Barbera del Monferrato Superiore,Piedmont,Italy
Marziano Abbona,Dolcetto di Dogliani,Piedmont,Italy
Domaine La Jeanne,Pays d'Oc,Languedoc-Roussillon,France
Pascal Rollet,Mâcon-Villages,Burgundy,France
Gallo Signature Series,Sonoma Coast,California,US
Manenti,Cerasuolo di Vittoria,Sicily & Sardinia,Italy
Marilena Barbera,Menfi,Sicily & Sardinia,Italy
Barnett,Napa Valley,California,US
Vie di Romans,Venezia Giulia,Northeastern Italy,Italy
Ravenswood,Russian River Valley,California,US
Milliaire,Sierra Foothills,California,US
Sausal,Sonoma County,California,US
Alderbrook,Sonoma County,California,US
Steele,Mendocino,California,US
Domaine Borie de Maurel,Minervois,Languedoc-Roussillon,France
Château Souverain,Dry Creek Valley,California,US
Clos du Lac,Shenandoah Valley (CA),California,US
Penfolds,Australia,Australia Other,Australia
Sonoma Creek,Contra Costa County,California,US
Grgich Hills,Sonoma County,California,US
Shane Wines,Sonoma Coast,California,US
James Oatley,South Eastern Australia,Australia Other,Australia
Temptation,California,California,US
Alberti 154,Tupungato,Mendoza Province,Argentina
Château de Lancyre,Vin de Pays de Montferrand,Languedoc-Roussillon,France
Bookster,Sonoma Coast,California,US
Cimarossa,Howell Mountain,California,US
Monastir,Cariñena,Northern Spain,Spain
Haraszthy,Sonoma County,California,US
Bourgeois Family,Crémant de Limoux,Languedoc-Roussillon,France
Raymond,Yountville,California,US
Terre di San Venanzio Fortunato,Valdobbiadene Superiore di Cartizze,Veneto,Italy
Vignobles Bulliat,Moulin-à-Vent,Beaujolais,France
Domaine Lathuilière-Gravallon,Beaujolais Blanc,Beaujolais,France
Domaine Sangouard,Beaujolais-Leynes,Beaujolais,France
Messina Hof,Texas High Plains,Texas,US
Batasiolo,Barbaresco,Piedmont,Italy
Château Grand Marchand,Bordeaux,Bordeaux,France
Château Lamothe de Haux,Cadillac,Bordeaux,France
Cameron Hughes,Lodi,California,US
Chaman,La Consulta,Mendoza Province,Argentina
